"Site Name","Site ID","Dataset ID","Proportion explained variance","Random TF p","Anomaly (°C)","Anomaly Bootstrapped (°C)","Mean boostrap RMSEP (°C)","Mean boostrap s1"
"Bear Lake",10000,14951,0.383795489862006,0.0190980901909809,6.475,5.2377875,3.67229566390376,2.03302508864789
"Beef Pasture",246,250,0.242812637936366,0.0432956704329567,5.4875,5.7356125,4.1342837236592,0.888607649737075
"Beef Pasture",246,25551,0.290448282976213,0.092990700929907,4.275,4.164325,4.11663377430257,1.10212920696475
"Como Lake",2957,3056,0.423417678874925,0.0000999900009999,6.2375,4.503375,2.65299882919728,0.989897220385322
"Crane Lake",504,517,0.414217075292826,0.0314968503149685,3.4,2.732275,4.46866511820005,1.66084321335789
"Cumbres Bog",11617,17419,0.171409686552037,0.0615938406159384,13.125,11.8422625,3.7868097357312,1.45431786678492
"Hay Lake",982,1013,0.189980627066297,0.01999800019998,2.575,2.278525,4.46728132820925,1.06829065060409
"Hermit Lake",23930,41580,0.161183093860466,0.0778922107789221,3.8125,3.3904,4.26640543219904,1.14854108955745
"Jacob Lake",1127,1162,0.352959182351129,0.0176982301769823,2.325,2.8095,4.48393730770283,0.810028410017455
"Long Lake",1609,1660,0.128010956802318,0.0540945905409459,7.2625,6.6133375,4.61824022869139,1.20923840908453
"Molas Lake",1705,1761,0.29641612727112,0.0038996100389961,4.7375,4.0374125,4.59210257767965,0.686817779670244
"Potato Lake",1906,3561,0.42341283859543,0.0000999900009999,1.85,1.320575,2.75559369135991,0.734182859993682
"Purple Lake",13683,20838,0.549962425475121,0.0004999500049995,2.3625,1.53815,3.90104839357478,0.791252232232622
"Sagehen Marsh",2241,2320,0.397531122918198,0.0720927907209279,4.2,3.5894875,3.6880915372925,1.01530654217459
"San Agustin Plains",2260,3612,0.515299863913595,0.0140985901409859,0,0,3.10167620601657,0.950478053204478
"Soldier Creek Meadow",24232,42645,0.199850765023449,0.0740925907409259,3.75,4.0969875,4.25914526987787,0.717309370303569
"Whiskey Lake",2853,2950,0.459308808219121,0.0385961403859614,9.8125,10.0078,2.71489161564002,1.6052965266087
"Alpine Pond",9814,14517,0.0286744386755072,0.818218178182182,NA,NA,NA,NA
"Alpine Pond",9814,14547,0.209998948078313,0.527647235276472,NA,NA,NA,NA
"Bechan Cave",244,247,0.422011050938874,0.123787621237876,NA,NA,NA,NA
"Bechan Cave",244,3060,0.18260721799932,0.446655334466553,NA,NA,NA,NA
"Black Mountain Lake",10531,16222,0.395817805116053,0.0817918208179182,NA,NA,NA,NA
"Cascade Fen [Engineer Mountain Bog]",339,347,0.0565039313458199,0.756624337566243,NA,NA,NA,NA
"Chihuahueños Bog",13680,20833,0.105982267511974,0.421457854214579,NA,NA,NA,NA
"Columbine Ranch Fen",486,498,0.0607318746586283,0.721627837216278,NA,NA,NA,NA
"Dead Man Lake",655,671,0.274831973856391,0.0591940805919408,NA,NA,NA,NA
"Dead Man Lake",655,3076,0.195313026448048,0.221577842215778,NA,NA,NA,NA
"Head Lake",2955,3054,0.0518149569290955,0.747625237476252,NA,NA,NA,NA
"Hospital Flat Meadow",26738,46801,0.296221558114308,0.241175882411759,NA,NA,NA,NA
"Hunters Lake",13486,20304,0.301259450942464,0.113188681131887,NA,NA,NA,NA
"Lake Emma",10061,15106,0.156140068921287,0.378962103789621,NA,NA,NA,NA
"Leonora Curtin",14632,22948,0.273202490480939,0.263973602639736,NA,NA,NA,NA
"Lowder Creek Bog",9830,14549,0.10611361211268,0.579342065793421,NA,NA,NA,NA
"Mayberry Well",1661,1717,0.234430324469649,0.0694930506949305,NA,NA,NA,NA
"Molas Pass Bog",1706,1762,0.147929480050058,0.572242775722428,NA,NA,NA,NA
"Montezuma Well",1710,1766,0.0574028473556153,0.561943805619438,NA,NA,NA,NA
"Posy Lake",1905,1970,0.0278264252302549,0.855814418558144,NA,NA,NA,NA
"Potato Lake",1906,3560,0.427618343661965,0.113788621137886,NA,NA,NA,NA
"Sagehen Marsh",2241,3608,0.52501023280605,0.327767223277672,NA,NA,NA,NA
"Sagehen Marsh",2241,3609,0.481464571870368,0.188181181881812,NA,NA,NA,NA
"San Agustin Plains",2260,2340,0.0342967746421069,0.808919108089191,NA,NA,NA,NA
"San Agustin Plains",2260,3611,0.443758578195751,0.162183781621838,NA,NA,NA,NA
"San Luis Lake",9878,14650,0.0473225693300916,0.803319668033197,NA,NA,NA,NA
"Stewart Bog",10191,15356,0.0498759336409754,0.472952704729527,NA,NA,NA,NA
"Stoneman Lake",10449,15967,0.142090244341133,0.174682531746825,NA,NA,NA,NA
"Twin Lakes",2785,2880,0.0635568222589055,0.674932506749325,NA,NA,NA,NA
"Utricularia Lake",2800,2897,0.212777174433203,0.315268473152685,NA,NA,NA,NA
